base_norm,descriptive_norm,situation,intention,moral_action,moral_consequence,immoral_action,immoral_consequence
الغيرة,أغارُ عليكِ مِن نفسي ومنِّي ومنكِ ومِن مكانِكِ والزَّمانِ ولو أنِّي خبَأْتُكِ في عُيوني إلى يومِ القيامةِ ما كَفاني,كان عمرُ يعيشُ مع أختِه خديجةَ في حارةٍ هادئةٍ قربَ المسجد، وقد بدأتْ تكبرُ وتخرجُ إلى الكتّاب، فيزدادُ حرصُه عليها.,أرادَ عمرُ أن يصونَ كرامةَ أختِه ويطمئنَّ قلبَ والدتِه، وأن يُعينَ خديجةَ على سلوكِ طريقِها بأمانٍ ووقارٍ بين الناس.,حين رأى عمرُ بعضَ الفتيانِ يطيلونَ النظرَ إلى خديجةَ عندَ الباب، تقدّمَ بأدبٍ وسلّمَ، ثم رافقَها إلى الكتّابِ دونَ جفاءٍ أو خصومة.,شعرتْ خديجةُ بالأمانِ، واحترمَ أهلُ الحارةِ رِفقَ عمرَ وحكمتَه، فصاروا يثنونَ على أدبِه، وتناقصَتْ الكلماتُ المؤذيةُ حولها.,لمّا لمحَ عمرُ الفتيانَ يلتفتونَ إلى خديجةَ، صاحَ بهم بغلظةٍ واتّهمَهم أمامَ الجيرانِ، ثم أمسكَ بذراعِها وشدَّها في الطريقِ بعنفٍ.,اضطربتْ خديجةُ وخجلتْ من أعينِ الناس، واشتعلتْ الخصومةُ في الحارةِ، فصارَ الجيرانُ يتناقلونَ القصةَ ويبتعدونَ عن عمرَ لسوءِ خُلُقه.
السكينة,عن ابنِ عبَّاسٍ رَضِيَ اللهُ عنهما: ((أنَّه دفع مع النَّبيِّ صلَّى اللهُ عليه وسلَّم يومَ عَرَفةَ، فسَمِع النَّبيُّ صلَّى اللهُ عليه وسلَّم وراءَه زَجرًا شديدًا، وضربًا وصوتًا للإبلِ، فأشار بسَوطِه إليهم، وقال: أيُّها النَّاسُ، عليكم بالسَّكينةِ)),في صباحِ العيدِ ازدحم سوقُ القريةِ عند بابِ المسجد، وكان عبدُالرحمنِ الصغيرُ يسيرُ مع أبيه بين الناس، والضجيجُ يتعالى حول الدوابِّ والبائعين.,أراد عبدُالرحمنِ أن يصلَ إلى الصفِّ الأولِ للصلاةِ قبل الإقامة، وأن يحفظَ لأبيه هيبتَه ووقارَه بين الجيران في ذلك الزحام.,تماسك عبدُالرحمنُ، فأمسكَ يدَ أبيه برفقٍ، وتنحّى عن مواضعِ التدافعِ، واعتذرَ بلطفٍ لمن لامسَه، ومشى على هينتِه حتى اقتربا من المسجد.,لما رآه الناسُ هادئًا تبسّموا وأفسحوا له الطريق، وخفَّت حدّةُ الخصامِ عند الباب، ودخل المصلّون بطمأنينةٍ، وتعاونوا على انتظامِ الصفوف.,استعجل عبدُالرحمنُ فدفعَ الناسَ بمرفقِه ورفعَ صوتَه يزجرُ من أمامَه، وجعل يشقُّ الصفوفَ مسرعًا غيرَ مبالٍ بمن يَعثُر أو يتأذّى.,اشتدّ التدافعُ بسبب فعلِه، فتعالت الأصواتُ وتخاصمَ رجلان قرب الباب، وتأخر بعضُ المصلّين عن التكبيرِ الأول، ونظر الجيرانُ إلى أبيه باستنكارٍ وحزن.
الصدق,وَمَنْ أَصْدَقُ مِنَ اللَّهِ حَدِيثًا [النساء: 87],في حارةٍ قريبةٍ من المسجد، كان ياسرٌ تلميذًا مجتهدًا يصنع دفاترَ مزخرفة، وله صديقٌ اسمه عُمَر، يلعبان بعد العصر تحت شجرةِ توتٍ وارفة.,أراد ياسرٌ أن يحافظ على مودّةِ عُمَر، وأن يسترجع دفتَرَه المفقود قبل درس الغد، دون أن يوقع ظلمًا بأحدٍ من زملائه.,لمّا سُئل ياسرُ عن سبب غيابِ دفترِه، تكلّم بصدقٍ وقال إنّه أضاعه عند الساحة، ثمّ طلب من عُمَر معاونته بهدوءٍ للبحث والسؤال.,اطمأنّ المعلّمُ والأصحاب لصدقه، فهبّوا يعينونه حتى وُجد الدفتر عند البوّاب، وزادت ثقةُ عُمَر به فازدادت صحبتهما صفاءً.,لمّا سُئل ياسرُ عن دفتَرِه، تعجّل فاتهم زميلًا بريئًا أنّه أخذه، وزاد في القول حكايةً مختلقةً ليدفع عن نفسه لوم الإهمال.,اضطربت الحارةُ واشتدّ الخصام بين الصبيان، ونظر المعلّمُ بعينِ الريبة إلى ياسر، ففترت صحبته بعُمَر حتى اعتذر بعد انكشاف الحقيقة.
التأني (الأناة),لا تعجَلَنَّ فرُبَّما عَجِل الفتى فيما يَضُرُّه ولرُبَّما كَرِه الفتى أمرًا عواقِبُه تَسُرُّه,في مكتبةِ المدرسةِ العتيقةِ جلسَ ياسرُ بين رفوفِ القصصِ، والهدوءُ يلفُّ المكانَ، وقد أُعلِنَ عن مسابقةٍ لقراءةِ كتابٍ تلخيصًا وفهمًا.,أرادَ ياسرُ أن يكتبَ تلخيصًا متقنًا لكتابٍ يختارهُ، ليحظى بثناءِ معلّمِ اللغةِ ويُسعدَ والدَهُ الذي يحبُّ التفوّقَ الهادئَ.,اختارَ ياسرُ كتابًا صغيرًا، ثم قرأهُ على مهلٍ، ووضعَ خطوطًا تحت الأفكارِ، وسألَ أمينَ المكتبةِ عن معنى كلماتٍ غامضةٍ قبلَ أن يكتبَ.,لما سلّمَ ياسرُ تلخيصَهُ المتأنّي أثنى المعلّمُ على فهمِه، واقتدى به زملاؤهُ في التروّي، فهدأت المنافسةُ وصارت تعاونًا محترمًا.,استعجلَ ياسرُ فأخذَ كتابًا دونَ نظرٍ، ونسخَ عباراتٍ متفرّقةً من غيرِ فهمٍ، ثم قدّمَ الورقةَ قبلَ مراجعتِها ظنًّا أنّ السرعةَ تكفي.,ظهرَ اضطرابُ تلخيصِه عندَ المناقشةِ، ففقدَ ثقةَ معلّمِه، وتناقلَ الزملاءُ خبرَ تسرّعِه، فضعفت هيبتُه وتردّدوا في الاعتمادِ عليه.
الشجاعة,عن عُبادةَ بنِ الصَّامِتِ رضِي اللهُ عنه قال: (بايَعْنا رسولَ اللهِ صلَّى اللهُ عليه وسلَّم على السَّمعِ والطَّاعةِ في العُسرِ واليُسرِ، والمَنشَطِ والمَكرَهِ، وعلى أثَرةٍ علينا، وعلى ألَّا نُنازِعَ الأمرَ أهلَه، وعلى أن نقولَ بالحقِّ أينما كنَّا، لا نخافُ في اللهِ لومةَ لائِمٍ)),كان زيدُ بنُ ثابتٍ صبيًّا في كُتّابِ المدينة، ورأى زملاءه يتهامسون حول خطإٍ في توزيعِ الصدقاتِ عند الشيخِ المشرف، والناسُ ينتظرون.,أراد زيدٌ أن يُصلحَ الأمرَ ويَحفظَ حقَّ الضعفاءِ، وأن يُبيّنَ الحقيقةَ للشيخِ دونَ خصومةٍ أو إساءةٍ لأحدٍ من الصبيان.,تقدّم زيدٌ بأدبٍ فذكر ما سمع ورآه، وطلب مراجعة الدفاتر، ونطق بالصدقِ ثابتَ القلبِ غيرَ مبالٍ بلومِ بعضِ رفاقه في المجلس.,راجَع الشيخُ الحسابَ فظهر الخللُ وأُعيدت الحقوقُ إلى أهلها، فاطمأنّ الناسُ، وتعَلّم الصبيانُ أن الجرأةَ في الخيرِ تُصلحُ الجماعةَ وتزيدُ الثقة.,آثر زيدٌ الصمتَ خوفًا من سخريةِ زملائه، وشاركهم التهوينَ من الأمر، وكتم ما عرفه مع أنه كان يستطيع إرشادَ الشيخِ إلى موضعِ الخطإ.,استمرّ الخللُ فتأذّى المحتاجون وتنازعَ بعضُ الأهالي، وسقطت هيبةُ الكُتّابِ في الحيّ، وصار الصبيانُ يعتادون الجبنَ وكتمانَ الحقِّ عند الشدائد.
الشكر,لا يُشترى الحَمدُ أُمْنِيةً ولا يُشترى الحَمدُ بالمَقْصِرِ ولكِنَّما يُشتَرى غاليًا فمَن يُعطِ قيمتَه يَشتَرِ ومن يعتَطِفْه على مِئزَرٍ فنِعمَ الرِّداءُ على المِئزَرِ,في مدرسةٍ قريبةٍ من المسجد، كان سليمٌ تلميذًا مجتهدًا، يعينه المعلّم ناصر، ويعاونه زميله يوسف في ترتيب الكتب والدفاتر كلَّ صباح.,أراد سليمٌ أن ينجح في مسابقة القراءة الأسبوعيّة، وأن يحفظ الودَّ في قلب معلّمه وزميله، جزاءَ ما يبذلانه له من عونٍ.,لمّا أهداه المعلّم ناصر كتابًا نادرًا، قام سليمٌ فقبّل يده بأدبٍ، ودعا له بخيرٍ، ثم شكر يوسفَ علنًا على مساعدته في المراجعة.,امتلأ قلب المعلّم رضا، وشعر يوسفٌ بقيمته بين رفاقه، فانتشرت في الصفّ روحُ التراحم، وتنافس التلاميذ في الإحسان بدل المباهاة الجوفاء.,لمّا ناوله المعلّم ناصر الكتاب، أخذَه سليمٌ ببرودٍ، ونسب فوزه لذكائه وحده، وتجاهل فضل يوسف، بل لمّح أنّ مساعدته كانت ثقيلةً عليه.,انكسر خاطر المعلّم، وابتعد يوسف عن معاونته، فتبدّد التعاون في الصفّ، وصار التلاميذ يتواصون بالكتمان، وخفَتت همّة سليم حين قلَّ الناصر والمحبّ.
حسن العشرة والجوار,عن أبي هُرَيرةَ قال: قال رسولُ اللَّهِ صلَّى اللهُ عليه وسلَّم: ((يا نساءَ المُسلِماتِ لا تَحقِرَنَّ جارةٌ لجارتِها ولو فِرْسِنَ شاةٍ)),في زقاقٍ عتيقٍ من أزقّةِ المدينةِ كانت عائشةُ تسكنُ مع أمِّها، وتجاورُهما أمُّ سَلَمةَ ذاتُ اليدِ القليلةِ والقلبِ الودودِ.,أرادت عائشةُ أن تُثبِتَ لجارتِها أنّ المودّةَ لا تُقاسُ بكثرةِ الهدايا، بل بحسنِ القصدِ ولينِ القولِ وصِدقِ المعاملةِ.,لمّا قدّمت أمُّ سَلَمةَ لعائشةَ خبزًا يابسًا وقِطعةَ تمرٍ، شكرتْها عائشةُ بوجهٍ طليقٍ، وأهدتْها حساءً دافئًا ودعتْ لها بخيرٍ.,سَرَتِ الألفةُ بين البيتين، وصارت نساءُ الزقاقِ يتهادَيْنَ ولو بالقليل، فتخفّفتِ القلوبُ من الكِبرِ واجتمعتِ الكلمةُ على البرِّ.,لمّا ناولتْها أمُّ سَلَمةَ هديّتَها المتواضعةَ، عبستْ عائشةُ وقالتْ كلمةً جارحةً تُشعرُ بالازدراءِ، ثم أغلقتِ البابَ دون سلامٍ ولا اعتذارٍ.,انكسرتْ نفسُ أمِّ سَلَمةَ وتراجعتْ عن مخالطةِ الجاراتِ، واشتدّ التباعدُ في الزقاقِ، فكثرَتِ الظنونُ وقلَّتِ الزياراتُ وحلَّ الجفاءُ.
التأني (الأناة),إِذْ تَلَقَّوْنَهُ بِأَلْسِنَتِكُمْ وَتَقُولُونَ بِأَفْوَاهِكُمْ مَا لَيْسَ لَكُمْ بِهِ عِلْمٌ وَتَحْسَبُونَهُ هَيِّنًا وَهُوَ عِنْدَ اللَّهِ عَظِيمٌ [النور: 15],في مدرسةِ القيروانِ كان سليمٌ فتىً أديبًا، وسمعَ همسًا بينَ زملائهِ عن يوسفَ يتّهمونهُ بكسرِ نافذةِ الفصلِ عندَ صلاةِ الظهرِ.,أرادَ سليمٌ أن يحفظَ مودّةَ التلاميذِ ويصونَ سمعةَ يوسفَ، وأن يَعرفَ حقيقةَ الخبرِ قبلَ أن يمتدَّ في الصفِّ ويصيرَ خصومةً.,تأنّى سليمٌ فاستأذنَ المعلّمَ، ثم سألَ البوّابَ وشاهدَ موضعَ النافذةِ، وراجعَ يوسفَ برفقٍ حتى تبيّنَ أن الريحَ أسقطتِ اللوحَ المكسورَ.,لمّا ظهرتِ الحقيقةُ سكنتِ الألسنةُ واعتذرَ الزملاءُ ليوسفَ، وازدادتْ ثقتُهم بسليمٍ، وصارَ الصفُّ أحرصَ على التثبّتِ وصونِ الإخوةِ.,تعجّلَ سليمٌ فقبِلَ الهمسَ دونَ بيّنةٍ، وأخذَ يحدّثُ بهِ رفاقَهُ في الساحةِ ويزيدُ عليهِ كلماتٍ تُشعلُ الغضبَ وتُضحكُ السامعينَ.,انتشرَ الاتهامُ فتفرّقَ الأصحابُ عن يوسفَ واشتدّتِ الوحشةُ في الصفِّ، ثم ظهرَ كذبُ الخبرِ فلامَ المعلّمُ سليمًا وضعفتْ منزلتُهُ بينَ التلاميذِ.
السماحة,عن عبدِ اللهِ بنِ مسعودٍ رَضِيَ اللهُ عنه قال: قال رسولُ اللهِ صلَّى اللهُ عليه وسلَّم: ((ألا أخبِرُكم بمن يَحرُمُ على النَّارِ، أو بمن تحرُمُ عليه النَّارُ؟ على كُلِّ قريبٍ هَيِّنٍ سَهلٍ)),في حارةٍ عتيقةٍ قربَ المسجدِ الكبيرِ كان يوسفُ الصغيرُ يلازمُ دكّانَ أبيه للخبزِ، ويخالطُ الصبيانَ والجارَ المسنَّ أبا حسنٍ كلَّ صباح.,أراد يوسفُ أن يبيعَ الخبزَ للناسِ في يومِ ازدحامٍ شديدٍ، وأن يحفظَ ودَّ الجيرانِ فلا يخرجَ أحدٌ من الدكّانِ منقبضَ الصدرِ.,حين ضاقَ الصفُّ وتزاحمَ الصبيانُ، هدّأ يوسفُ صوتَه وابتسمَ، وقدّمَ أبا حسنٍ برفقٍ، واعتذرَ للآخرينِ بكلامٍ ليّنٍ يطفئُ الخصام.,سكنَ الزحامُ، وتعاونَ الناسُ على ترتيبِ الدورِ، ودعا أبو حسنٍ ليوسفَ بخيرٍ، فصار الدكّانُ مألوفًا عند الجيرانِ يذكرونَه بحسنِ الخُلُق.,لما اشتدَّ الازدحامُ، رفع يوسفُ صوتَه في وجوهِ الواقفينَ، ودفعَ أبا حسنٍ عن المقدّمةِ، وسخرَ من بطئهِ ليُسرعَ البيعَ ويُنهي الطابورَ.,اضطربَ الصفُّ وارتفعتِ الأصواتُ، وانصرفَ بعضُ الجيرانِ إلى مخبزٍ آخرَ، وتأذّى أبو حسنٍ فشكا أمرَه لأبيه، فوهنت ثقةُ الناسِ بالدكّانِ.
النظافة,أجِدَّ الثِّيابَ إذا اكتَسَيتَ فإنَّها زَينُ الرِّجالِ بها تُعَزُّ وتُكرَمُ ودَعِ التَّواضُعَ في الثِّيابِ تخوُّفًا فاللهُ يعلَمُ ما تُجِنُّ وتكتُمُ فرَثاثُ ثَوبِك لا يزيدُك زُلفةً عِندَ الإلهِ وأنت عبدٌ مُجرِمُ وبهاءُ ثوبِك لا يضُرُّك بعدَ أن تخشى الإلهَ وتتَّقي ما يَحرُمُ,في حارةٍ قديمةٍ قربَ المسجدِ الكبيرِ كان فهدٌ الصغيرُ يذهبُ إلى الكُتّابِ كلَّ صباحٍ، ويُلازمه ثوبٌ تلطّخَ بغبارِ اللعبِ وعرقِ الطريقِ.,أراد فهدٌ أن يحضرَ مجلسَ تلاوةٍ أمامَ المعلّمِ والضيوفِ في يومِ الجمعةِ، ليُحسِنَ صورتَه ويُفرِحَ أمَّه ويَحظى بثناءِ رفاقِه.,عاد فهدٌ مبكرًا، فغسلَ يديهِ ووجهَه، ونفضَ ثوبَه ونظّفه، ثم رقّعَ ما انشقَّ منه بخيطٍ متينٍ، وخرجَ متطيّبًا متواضعًا بلا خيلاء.,لمّا رآه المعلّمُ حسنَ الهيئةِ طيّبَ الرائحةِ قرّبه في الصفِّ، فاقتدى به الصبيةُ، وسرت في الحارةِ عنايةٌ بالنظافةِ واحترامٌ لمجالسِ العلمِ والقرآنِ.,تأخّر فهدٌ عن التنظيفِ، فلبس ثوبَه المتّسخَ كما هو، وأخفى رائحتَه بدهنٍ ثقيلٍ، ومشى متكبرًا يستهزئ بمن يعتني بهيئتِه أمامَ الناسِ.,نفَرَ الصبيةُ من قربِه، وطلبَ المعلّمُ أن يجلسَ في آخرِ المجلسِ حتى لا يؤذي غيرَه، فتكدّرت نفسُ أمّه وقلَّ احترامُ الحارةِ له.
المروءة,وفتًى خلا من مالِه ومن المُروءةِ غيرُ خالي أعطاك قبلَ سُؤالِه وكفاك مكروهَ السُّؤالِ,كان سلمانُ فتىً يتعلّمُ في كُتّابِ القرية، ويرى الصبيانَ يتهامسون في فناء المسجد، إذ ضاعَت محفظةُ هاشمٍ وخجلَ أن يُظهِرَ حاجتَه.,أراد سلمانُ أن يُعينَ هاشمًا على تدبيرِ ثمنِ الكُرّاسِ والحبرِ قبلَ أن يفتضحَ أمرُه بينَ الرفاقِ، محافظةً على كرامتِه ووِدادِهم.,اقتربَ سلمانُ منه سرًّا، ووضعَ في يده دراهمَ قليلةً جمعَها من مصروفِه، وقالَ: هذا عوضُ ما فُقِد، ولا تُخبِرْ أحدًا.,حُفِظَ وجهُ هاشمٍ من ذُلِّ السؤال، فازدادَ مودّتُه لسلمان، وتعلّمَ الصبيانُ أن سترَ المحتاجِ يورثُ محبّةً ويُصلِحُ القلوبَ.,لمّا علمَ سلمانُ بضيقةِ هاشم، أخذَ يُمازحُه أمامَ الصبيانِ ويُكثرُ من التلميحِ إلى فقرِه، ثم امتنعَ عن مُعاونتِه طمعًا في ضحكِهم.,استوحشَ هاشمٌ من رفاقِه وانقطعَ عن الكُتّابِ أيامًا، وسرى بينَ الصبيانِ خُلُقُ الشماتة، حتى ضعفت الألفةُ وقلَّت الثقةُ في مجالسِهم.
العزم، والعزيمة، وعلو الهمة,إذا هَمَّ ألقى بَيْنَ عينَيه عَزْمَه ونَكَب  عن ذِكرِ العواقِبِ جانِبَا ولم يَستَشِرْ في رأيِه غيرَ نَفسِه ولم يَرْضَ إلَّا قائِمَ السَّيفِ صاحِبَا,في مدرسةِ الحيِّ العتيقةِ كان زيدٌ فتىً مُجِدًّا يقودُ فريقَ الكشافةِ، وحولهم بستانٌ واسعٌ تُنثَرُ فيه أوراقُ الخريفِ على الممراتِ.,أراد زيدٌ أن يُقيمَ لزملائِه مسارًا تعليميًّا في البستانِ قبلَ زيارةِ المُفتِّشِ، ليُظهِرَ مهارةَ الفريقِ ويُسعِدَ المُعلِّمَ والرفاقَ.,جمع زيدٌ رفاقَه بعدَ الصلاةِ، فقسَّمَ الأعمالَ بحِكمةٍ وصبرٍ، وثبَتَ على تعبِ الحفرِ وترتيبِ العلاماتِ، حتى أتمّوا المسارَ بإتقانٍ وأدبٍ.,لما رأى الزملاءُ ثباتَ زيدٍ ونظامَه تعاونوا بسرورٍ، فعمَّت الثقةُ بينهم، وأثنى المُعلِّمُ على الفريقِ، وصار البستانُ موضعَ فخرٍ لأهلِ المدرسةِ.,استعجل زيدٌ يومًا العملَ طلبًا للمدحِ، فتفرَّدَ بالرأيِ وتركَ مشاورةَ رفاقِه، وأمرَهم بغلظةٍ، ثم أهملَ تثبيتَ العلاماتِ واكتفى بالمظهرِ السريعِ.,عند الزيارةِ اضطربَ المسارُ وتعثَّرَ بعضُ الصغارِ، فوقعَ اللومُ على الفريقِ وتفرَّقَت قلوبُهم، وعاتبه المُعلِّمُ على تعجُّلِه وقلَّ احترامُ الرفاقِ له.
الحذر، واليقظة، والحيطة,ينامُ بإحدى مُقلَتَيه ويتَّقي بأُخرى الرَّزايا فهو يَقْظانُ هاجِعُ,في قريةٍ وادعةٍ تحفّها بساتينُ النخيل، كان الصبيُّ سليمٌ يرعى غنمَ أبيه عند الساقية، ويأنسُ بصحبةِ جارِه ياسرٍ كلَّ مساء.,أراد سليمٌ أن يحفظَ الغنمَ من الذئاب واللصوص، وأن يعودَ بها قبل المغرب سالمةً، ليطمئنَّ قلبُ أبيه وتبقى الثقةُ قائمةً بين أهل القرية.,جعل سليمٌ عصاه قريبةً منه، وربط الغنمَ بحبلٍ متين، وأوقد نارًا صغيرةً عند طرف المرعى، ثم راقب الأثرَ في التراب وسأل الراعيَ الكبيرَ نصيحةً.,حين دنا ذئبٌ في عتمةِ الأصيل، انتبه سليمٌ وصاح، فاجتمع الرعاةُ وردّوه، فزاد احترامُ الناس له، واطمأنّت الأسرُ إلى أمان المرعى.,استرسل سليمٌ في لهوِه بالحجارة، ونامَ طويلًا تحت ظلّ شجرةٍ بعيدًا عن القطيع، وترك الحبلَ مرتخيًا، ولم يُصغِ لتحذير ياسرٍ من آثارٍ غريبةٍ حول الساقية.,تفرّقت بعضُ الغنم وافتُرِسَت شاةٌ، فاضطرب أهلُ القرية لقلّةِ الحراسة، وعاتبه أبوه وقلّت ثقةُ الجيرانِ به، واشتدّت المراقبةُ في المراعي.
التعاون,وبلوتُ أسبابَ الحياةِ وقِسْتُها فإذا التَّعاوُنُ قُوَّةٌ ونجاحُ,في قريةٍ هادئةٍ على ضفافِ النهرِ، كان زيدٌ وتلاميذُ الكُتّابِ يُعِدّون مجلسًا لقراءةِ القرآنِ، والريحُ تعبثُ بالأوراقِ وأغصانِ السَّدرِ.,أراد زيدٌ أن يكتملَ المجلسُ في وقتهِ، وأن يجلسَ الصغارُ آمنينَ مطمئنينَ، بعد أن لاحظَ تفرّقَ الحُصُرِ وضيقَ المكانِ وكثرةَ الداخلينَ.,نادى زيدٌ رفاقَهُ بلطفٍ، فقسّمَ العملَ بينهم؛ هذا يحملُ الحُصُرَ، وذاك يجمعُ المصاحفَ، وثالثٌ يهيّئُ الماءَ، حتى استقامَ النظامُ.,إذا رأى أهلُ القريةِ حسنَ صنيعِهم، أثنوا عليهم وازدادَ إقبالُ الصغارِ على الكُتّابِ، وقويتْ أواصرُ المودّةِ بينهم، وصاروا يُعينُ بعضُهم بعضًا.,أراد زيدٌ تعجيلَ افتتاحِ المجلسِ، فاستأثرَ بتنظيمِ المكانِ وحدهُ وتركَ رفاقَهُ بلا توجيهٍ، ثم عاتبَهم بغلظةٍ حين تأخروا عن فهمِ ما يريدُ.,ينصرفُ بعضُ الصغارِ متثاقلينَ، ويجدُ الرفاقُ في صدورِهم ضيقًا من شدّتِه، فتقلُّ رغبتُهم في المشاركةِ، ويضعفُ انتظامُ المجلسِ في الأيامِ التاليةِ.
الألفة,اعذُرْ أخاك فما عليه جُناحُ لا غَرْوَ أن تتألَّفَ الأرواحُ جِسمانِ أُلِّف بالهَوى رُوحاهما ممَّا يمازِجُه وأُخرى راحُ,في مدرسةٍ قديمةٍ تحفُّها الأشجارُ، كان سليمٌ يلازمُ صديقَه حسّانَ في ساحةِ اللعب، ثم وقع منه خطأٌ صغيرٌ في يومٍ مزدحم.,أراد سليمٌ أن يحفظَ المودّةَ بينه وبين حسّانَ، وأن يظلّا متعاونين في الدرس واللعب، رغم ما حدث من تقصيرٍ عارض.,اقترب سليمٌ من حسّانَ بهدوءٍ، فاستمع لعذرِه، وذكّره بلطفٍ بما ينبغي، ثم صافحه ودعاه إلى مشاركةِ الطعام وإتمامِ الواجب معًا.,عاد الوئامُ إلى ساحةِ المدرسة، وصار التلاميذُ يذكرون سليمًا بحسنِ العشرة، فتقوّت الروابطُ بينهم، وعمّ التعاونُ في الصفِّ واللعب.,رفع سليمٌ صوتَه على حسّانَ أمامَ التلاميذ، واتّهمه بسوءِ القصد، ورفض سماعَ عذرِه، ثم هجره أيّامًا ليُشعره بالندم والمهانة.,تفرّق الأصحابُ إلى جماعاتٍ متنازعة، واشتدّت الخصومةُ في الساحة، وصار كلّ فريقٍ يترصّد الآخر، فضعف التعاونُ وقلّ الاحترامُ بينهم.
الشفقة,عن النُّعمانِ بنِ بشيرٍ رَضِيَ اللهُ عنهما، قال: قال رسولُ اللهِ صلَّى اللهُ عليه وسلَّم: ((مَثَلُ المؤمنين في توادِّهم وتراحُمِهم وتعاطُفِهم مَثَلُ الجَسَدِ؛ إذا اشتكى منه عضوٌ تداعى له سائرُ الجسَدِ بالسَّهَرِ والحُمَّى)),في مدرسةِ الحيِّ جلسَ ياسرٌ مع رفاقِه في ساحةِ الفسحة، فرأى زميلَه سليمًا شاحبَ الوجهِ يَكتمُ ألمًا بعد سقوطٍ.,أرادَ ياسرٌ أن يطمئنَّ على سليمٍ ويُعيدَ إليه نشاطَه قبلَ الحصَّة، وأن يحفظَ جوَّ الودِّ بينَ التلاميذِ في الساحةِ.,تقدَّمَ ياسرٌ برفقٍ، وأجلسَ سليمًا في الظلِّ، وأحضرَ له ماءً، ثم استأذنَ المعلِّمَ ليصطحبَه إلى المرشدِ الصحيِّ دونَ ضجيجٍ أو إحراجٍ.,حينَ رآه التلاميذُ يعينُ صاحبَه، رقَّت قلوبُهم وتعاونوا في تنظيمِ اللعبِ بعيدًا عنه، فشاعَ بينهم احترامٌ ورحمةٌ وزادت أواصرُ الصحبةِ.,اقتربَ ياسرٌ يريدُ إتمامَ لعبِه سريعًا، فضحكَ من تعثُّرِ سليمٍ وتجاهلَ أنينَه، وحرَّضَ بعضَ الصبيانِ على مواصلةِ الركضِ حولَه بلا مبالاةٍ.,اشتدَّ أذى سليمٍ واضطربتِ الساحةُ بصراخٍ وعتابٍ، ونفرت القلوبُ من ياسرٍ، وصارَ موضعَ لومٍ عندَ المعلِّمِ وفتورٍ في صحبةِ زملائِه.
الإعراض عن الجاهلين,وَإِذَا مَرُّوا بِاللَّغْوِ مَرُّوا كِرَامًا [الفرقان: 72],كان زيدٌ تلميذًا مهذّبًا يَدرس في مدرسةٍ عتيقةٍ بحيٍّ مزدحم، ويهوى المطالعة في ساحةٍ تظلّلها شجرةُ سدرٍ وارفة.,أراد زيدٌ أن ينجزَ واجبَ القراءة مع رفاقه في هدوء، ليُحسنَ عرضَه أمام المعلّم ويكون قدوةً لأبناء صفِّه.,لمّا بدأ بعضُ الفتيان يرمون الكلماتِ السخيفة قرب الساحة، جمع زيدٌ أوراقه، وسلّم بأدب، وانتقل إلى ركنٍ هادئٍ دون مجاراةٍ أو خصومة.,رأى رفاقُه سكونَه وحُسنَ أدبِه، فاقتدوا به وتركوا اللغو، وصارت الساحةُ أهدأَ، وتوثّقت بينهم أواصرُ الاحترام والتعاون.,لمّا سمع زيدٌ الكلماتِ السخيفة، غضب ورفع صوته، وردّ عليهم بمثلها، واشتدّ الجدال حتى نسي واجبَه وتفرّق رفاقُه عنه متأذين.,سرت الفوضى في الساحة، وتجرّأ آخرون على الاستهزاء، ونقصت هيبةُ زيدٍ بين زملائه، واضطرّ المعلّم إلى تأنيبهم جميعًا وتعطيل اللعب.
كتمان السر,ولو قدَرتُ على نسيانِ ما اشتَمَلَت مني الضُّلوعُ على الأسرارِ والخَبَرِ لكُنتُ أوَّلَ من ينسى سرائِرَه إذْ كُنتُ مِن نَشْرِها يومًا على خَطَرِ,في مدرسةِ الحيِّ القديم، كان خالدٌ تلميذًا مهذَّبًا يُحِبُّ زملاءَه، ويقضي الفُسحةَ تحت شجرةِ التوتِ مع صديقهِ ياسرٍ القَلِق.,أراد خالدٌ أن يُعينَ ياسرًا على تجاوزِ خوفِه من تلاوةِ القرآنِ أمامَ الصفِّ، وأن يحفظَ حديثَه في صدرِه صونًا لكرامتِه.,استمع خالدٌ لاعترافِ ياسرٍ بتردُّدِه، ثم شجَّعه سرًّا بالتدريبِ بعد الدرس، ولما سأله سامي عن سببِ قلقِه قال: سيحسنُ قريبًا بإذنِ الله.,شعر ياسرٌ بالأمانِ والثقةِ في صديقه، فازداد اجتهادُه وهدأت نفسُه، وانتشرت بينَ التلاميذِ روحُ السترِ والتعاونِ بدلَ التعييرِ واللمزِ.,لم يصبر خالدٌ على كتمانِ ما سمع، فحدَّث سامي بما اعترفَ به ياسرٌ وزادَ عليه تهويلًا، ثم تركَ الكلامَ يدورُ في الساحةِ كأنه طرفةٌ عابرةٌ.,سرت الإشاعةُ سريعًا فصار بعضُ التلاميذِ يتهامسون ويسخرون، فانكسر خاطرُ ياسرٍ واعتزلَ زملاءَه، وضعفت الثقةُ بينَ الأصحابِ واشتدَّت القسوةُ في الجوِّ.
